FullName,FilePathString,NbLines,NbTypesUsingMe,NbTypesUsed
BlogEngine.Core.Data.Models.PageItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\PageItem.cs,60,5,9
BlogEngine.Core.Data.Models.CategoryItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CategoryItem.cs,36,7,9
BlogEngine.Core.Data.Models.Package,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Package.cs,107,7,9
BlogEngine.Core.ServingEventArgs,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\ServingEventArgs.cs,159,15,9
BlogEngine.Core.Compilation.CodeExpressionBuilder,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\CodeExpressionBuilder.cs,55,0,10
BlogEngine.Core.Compilation.QueryStringExpressionBuilder,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\QueryStringExpressionBuilder.cs,68,0,10
BlogEngine.Core.Compilation.ServerVariableExpressionBuilder,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\ServerVariableExpressionBuilder.cs,68,0,10
App_Code.Controls.PageMenu,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Controls\PageMenu.cs,33,0,10
BlogEngine.NET.Custom.Widgets.Common,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Widgets\Common.cs,40,1,10
BlogEngine.Core.API.BlogML.BlogMlExtendedPost,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Syndication\BlogML\BlogMLExtendedPost.cs,37,2,10
Recaptcha.RecaptchaLogItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\Recaptcha\RecaptchaLogItem.cs,102,2,10
App_Code.WebUtils,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\WebUtils.cs,148,2,10
BlogEngine.Core.Data.Models.PostDetail,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\PostDetail.cs,81,4,10
BlogEngine.Core.Data.Models.PostItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\PostItem.cs,57,5,10
BlogEngine.Core.IPublishable,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\IPublishable.cs,124,34,10
BlogEngine.Core.BlogConfig,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\BlogConfig.cs,316,38,10
Smilies,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\Smilies.cs,86,0,11
BlogEngine.Core.Web.HttpHandlers.FoafPerson,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\HttpHandlers\Foaf.cs,560,1,11
BlogEngine.Core.Web.Extensions.ExtensionParameter,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\ExtensionParameter.cs,260,7,11
Resources.labels,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\App_GlobalResources\labels.designer.cs,7473,22,11
SendNewsletters,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\SendNewsletters.cs,29,0,12
BlogEngine.Core.Web.Scripting.JavascriptMinifier,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Scripting\JavascriptMinifier.cs,171,1,12
